,revision_id,article_quality,article_name,country,Data
156,723082034,Stub,Bybit Lydia Tsomondo,Zimbabwe,"17,354,000"
157,723353282,Stub,Kisinoti Mukwazhe,Zimbabwe,"17,354,000"
158,725242133,Stub,David Karimanzira,Zimbabwe,"17,354,000"
159,726651867,Stub,Sobusa Gula-Ndebele,Zimbabwe,"17,354,000"
160,726686195,Stub,Sylvester Nguni,Zimbabwe,"17,354,000"
161,726687480,Stub,Thamsanqa Mahlangu,Zimbabwe,"17,354,000"
162,726687648,Stub,Tichaona Mudzingwa,Zimbabwe,"17,354,000"
163,726687669,Stub,Murisi Zwizwai,Zimbabwe,"17,354,000"
164,726688144,Stub,Samuel Undenge,Zimbabwe,"17,354,000"
165,726688205,Stub,Reuben Marumahoko,Zimbabwe,"17,354,000"
166,730764918,Stub,Simon Khaya-Moyo,Zimbabwe,"17,354,000"
167,735498335,B,"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,"17,354,000"
168,736911246,Stub,Jevan Maseko,Zimbabwe,"17,354,000"
169,738729779,Stub,Munacho Mutezo,Zimbabwe,"17,354,000"
170,738810400,Stub,Sesel Zvidzai,Zimbabwe,"17,354,000"
171,738992625,Stub,Samuel Sipepa Nkomo,Zimbabwe,"17,354,000"
172,738992871,Start,Faber Chidarikire,Zimbabwe,"17,354,000"
173,738992910,Stub,Willard Chiwewe,Zimbabwe,"17,354,000"
174,738992918,Stub,Martin Dinha,Zimbabwe,"17,354,000"
175,739137894,Stub,Herbert Ushewokunze,Zimbabwe,"17,354,000"
176,742899761,Start,Nyasha Chikwinya,Zimbabwe,"17,354,000"
177,743971092,Start,Naomi Nhiwatiwa,Zimbabwe,"17,354,000"
178,744753863,Stub,Bright Matonga,Zimbabwe,"17,354,000"
179,747274193,Start,Thokozani Khuphe,Zimbabwe,"17,354,000"
180,748061603,Start,Border Gezi,Zimbabwe,"17,354,000"
181,749496266,Start,Rugare Gumbo,Zimbabwe,"17,354,000"
182,750224976,Start,George Nyandoro,Zimbabwe,"17,354,000"
183,750428952,Stub,Paul Chimedza,Zimbabwe,"17,354,000"
184,750974704,Stub,Gorden Moyo,Zimbabwe,"17,354,000"
185,753294248,Start,Daniel Shumba,Zimbabwe,"17,354,000"
186,755110125,Stub,Douglas Mombeshora,Zimbabwe,"17,354,000"
187,755337199,Start,Munyaradzi Gwisai,Zimbabwe,"17,354,000"
188,757616307,Start,Olivia Muchena,Zimbabwe,"17,354,000"
189,757616437,Stub,Paurine Mpariwa,Zimbabwe,"17,354,000"
190,757617613,Stub,Sithembiso Nyoni,Zimbabwe,"17,354,000"
191,757796569,Stub,Earnest Mudzengi,Zimbabwe,"17,354,000"
192,758442662,Stub,Gift Banda,Zimbabwe,"17,354,000"
193,759330558,Stub,Wilson Kumbula,Zimbabwe,"17,354,000"
194,760532029,Stub,Paurina Mpariwa,Zimbabwe,"17,354,000"
195,762630896,Stub,Flora Buka,Zimbabwe,"17,354,000"
196,763330074,Start,Elliot Manyika,Zimbabwe,"17,354,000"
197,764299725,Start,Diana Mitchell,Zimbabwe,"17,354,000"
198,764826793,Start,Maurice Nyagumbo,Zimbabwe,"17,354,000"
199,765095810,Start,Josiah Zion Gumede,Zimbabwe,"17,354,000"
200,767922311,Start,Edson Zvobgo,Zimbabwe,"17,354,000"
201,769519957,C,Felix Magalela Mafa Sibanda,Zimbabwe,"17,354,000"
202,769876632,Stub,Tracy Mutinhiri,Zimbabwe,"17,354,000"
203,771958995,Stub,Kayisa Ndiweni,Zimbabwe,"17,354,000"
204,774026217,Stub,Enoch Dumbutshena,Zimbabwe,"17,354,000"
205,774061307,Stub,Hubert Nyanhongo,Zimbabwe,"17,354,000"
206,775935799,C,James Chikerema,Zimbabwe,"17,354,000"
207,776389556,Start,Victoria Chitepo,Zimbabwe,"17,354,000"
208,776840034,Stub,Joel Gabuza,Zimbabwe,"17,354,000"
209,776943338,Start,Trudy Stevenson,Zimbabwe,"17,354,000"
210,777424335,Stub,Joram Gumbo,Zimbabwe,"17,354,000"
211,777482252,C,Joseph Chinotimba,Zimbabwe,"17,354,000"
212,777623864,Start,Nkululeko Sibanda,Zimbabwe,"17,354,000"
213,777849777,Stub,Janet Banana,Zimbabwe,"17,354,000"
214,780062778,Stub,Lazarus Dokora,Zimbabwe,"17,354,000"
215,782607746,Stub,Lutho Tapela,Zimbabwe,"17,354,000"
216,783298283,Stub,Moven Mahachi,Zimbabwe,"17,354,000"
217,783419906,Start,Margaret Dongo,Zimbabwe,"17,354,000"
218,783637102,C,Sekai Holland,Zimbabwe,"17,354,000"
219,783919896,Start,George Chiweshe,Zimbabwe,"17,354,000"
220,784396785,Stub,Josiah Mushore Chinamano,Zimbabwe,"17,354,000"
221,784668448,Stub,Michael Bimha,Zimbabwe,"17,354,000"
